Session Code	Session_Number	Session_name	Description	Session_type	Chair_definition	Chair_name	Session_date	Session_start_time	Session_end_time	Location	ID1	ID2	ID3	ID4	ID5	Topic Words
ck							 	 	 		1287	1141	903	1469	1449	compared,drosophila,populations,differing,induce,resistance,bacteria,immune,experimental,melanogaster,fitness,response,select,low
cl							 	 	 		1318	1368	572	78	660	evolving,centromeric,drive,species,specific,meiosis,fitness,pair,genotypes
cm							 	 	 		135	1352	446	398	420	migration,sampled,distance,isolated,archipelagos,colonization,neutral,effects,time,occurs,endemic,adaptation
cn							 	 	 		292	811	228	1455	880	theory,relationship,global,number,strategy,increase,game,understand,population,species,payoff
da							 	 	 		561	558	279	881	401	function,evolution,selection,incompatible,importance,region,genes,possible,variation,occurs,species,data,survival
db							 	 	 		1054	306	423	560	1001	function,case,phylogenetics,transcriptional,transfer,genes,modules,hypotheses,genetic,connected,another,social,group,networks
dc							 	 	 		920	1277	695	925	1513	relationships,obtained,loci,diversity,section,phylogenetics,estimates,markers,observed,threshold,clades,genomic,dispersed,gene
dd							 	 	 		1193	545	863	596	1077	associations,selection,genotype,loci,contribute,field,nasutus,adaptation,phenotypic,local,species,sympatric
de							 	 	 		939	308	121	17	1344	limited,diversity,temperature,organisms,restricted,consistent,losses,maintained,genetic,explored,montane,study,change,history
df							 	 	 		1209	103	652	644	1426	group,season,temporal,estimates,sampling,availability,speciation,species,dynamics,genus,precipitation,diversification
dg							 	 	 		1282	1138	604	569	594	rapid,sequence,phylogeographic,diversification,flow,complex,variation,eco,australia,systems,sea,islands,data,recent
dh							 	 	 		1359	123	846	269	48	stress,evolution,fields,lines,plant,lab,environmental,genotypes,domestication
di							 	 	 		142	229	36	1101	1458	ornamental,evolution,multiple,reproductive,evolve,sexual,receptive,observed,traits,high,effects,courtship,mating,bird
dj							 	 	 		498	766	776	923	717	life,set,transitions,antipodarum,genes,maintained,maintenance,fitness,genomic,ploidy,species,size
dk							 	 	 		1383	1072	158	779	8	evolutionary,interactions,importance,aphid,performance,hosts,endosymbiont,symbiont,growing,experimentally,bacterial,approach,adaptation
dl							 	 	 		1068	670	381	771	743	relevant,changes,lake,variation,assessing,metals,variants,contributions,model,history
dm							 	 	 		848	99	18	1324	567	risk,level,tree,estimates,phylogenetically,traits,rates,time,cladogenesis,model,dec,species
dn							 	 	 		731	849	1136	416	493	selection,divergence,outcrossed,variations,affects,lines,system,traits,produce,contribute,inbreeding,identify,gene,mating,population
ea							 	 	 		690	1021	1332	471	1102	life,selection,reproductive,genes,divergence,system,reinforcement,ecological,variation,sexual,species,outcrossing
eb							 	 	 		1207	297	851	928	1192	expansive,scale,caribbean,effective,level,haplotype,populations,variation,mitochondrial,mainland,sea,genomic,analyses,size
ec							 	 	 		238	41	970	1182	1092	heterogeneity,assume,transfer,estimation,locus,rates,sets,species,implement,duplication,horizontal
ed							 	 	 		655	1242	895	1516	1214	evolution,combination,models,matrices,diversification,phylogenetic,character,competition,process,predicted,simulations,clades,analyses,similar
ee							 	 	 		1066	1291	599	723	914	evolution,molecular,trophic,sequences,phenotypes,environments,complex,including,systems,african,found,gene,segregation
ef							 	 	 		964	971	43	67	189	advantage,populations,positive,show,genetic,lineages,sex,relative,conserved,phenotype,reproduction,fitness,male,times
eg							 	 	 		316	1473	1401	349	513	development,trophic,insects,results,strategy,ant,individual,influences,species,composition,geographic,facilitate,linked
eh							 	 	 		1111	1093	1018	457	184	grown,plants,genes,locally,mechanism,species,genetic,environments,found,qtl,tolerance,flowering,competition,serpentine
ei							 	 	 		509	692	807	718	984	urban,evolutionary,diversity,experiment,provide,shift,disease,mhc,potential,studies,bottleneck,domesticated,response
ej							 	 	 		1306	461	1181	827	720	seasonal,evolution,north,winter,resident,males,genetic,lineages,connectivity,range,evolved,model,geographic
ek							 	 	 		911	526	617	796	485	wide,stress,sequence,recombination,trait,due,prediction,however,rates,linkage,social,oxidative,many,select
el							 	 	 		13	287	119	499	571	species',climate,selection,populations,expression,larval,resistance,variation,thermal,phenotypic,gene,changes
em							 	 	 		1004	1190	474	276	1361	identical,dna,methods,level,amplicon,assemblies,identifying,costs,diverged,samples,coverage,approach
en							 	 	 		1245	1233	64	1081	562	genus,mechanisms,radiation,influence,focus,dispersal,high,examine,suggestive,long,speciation,adaptive,cycles,history
fa							 	 	 		916	605	614	706	1226	studied,inference,methods,specimens,developed,introgression,estimating,generated,group,genus,loci,event,recent
fb							 	 	 		741	1323	689	703	953	enemy,recently,defensive,symbiotic,examined,transmitted,obligate,phylogeny,symbiosis,provides,reconstruct,model,diverse,species
fc							 	 	 		1082	115	802	1244	525	distance,plant,river,populations,phylogenetic,phenotypes,traits,individual,york,ecologically,introduced,history
fd							 	 	 		1470	1399	207	412	1075	rapid,level,populations,hybrid,drive,regions,drosophila,sequence,species,change
fe							 	 	 		904	988	1261	430	244	body,evolutionary,fur,populations,mammals,genetic,variation,disparity,breeds,marsupial
ff							 	 	 		1236	120	1499	190	740	rearrangements,australia,diversity,identifying,transpositions,distinctive,lineages,only,chromosomal,resulted,gene,localized
fg							 	 	 		613	592	264	555	45	plant,selection,increased,petal,number,signals,diverse,role,preference,seeds,transitions,scent,size
fh							 	 	 		265	1330	1053	414	63	examining,antigenic,show,rna,mutations,endogenized,genetic,influenza,model,gene
fi							 	 	 		356	167	84	406	955	control,evolution,benefits,fish,differences,50,times,importantly,questions,fitness,absolute
fj							 	 	 		1049	1069	915	395	251	ejaculate,proteomics,eggs,differences,contribute,genes,protein,male,sexual,species,condition
fk							 	 	 		515	616	602	1438	1349	plants,development,scale,provides,probabilities,alleles,simulation,sample,rate,growth,snp,studying,method,history
fl							 	 	 		1408	362	943	1027	896	reveal,females,reproductive,basis,ageing,males,genetic,polymorphism,sexually,nematodes,mating,find,hermaphrodites
fm							 	 	 		981	929	240	1032	54	seasonal,temperature,taxa,light,genes,ranges,elevational,seedlings,population,changes,stage
fn							 	 	 		1417	589	1451	1440	507	suggest,because,affected,largely,phylogeographic,trait,study,cave,divergence,results,does,salamanders,phenotype,speciation
ga							 	 	 		141	672	600	175	1395	collective,genes,heat,mechanism,species,ecological,genome,animal,response,cactus,local,physiology
gb							 	 	 		747	294	138	164	19	scale,diversity,habitat,patterns,diversification,phylogenetic,neotropical,dispersal,outcrops,lineages,rock,dynamics,population
gc							 	 	 		1537	536	1462	678	847	matrix,populations,conditions,environments,highly,traits,shape,complex,effects,response,variance,adaptive,data,method
gd							 	 	 		226	94	128	1251	969	co2,lead,point,gradient,populations,show,variation,environmental,intermediate,cam,c3,increasing,changes,c4
ge							 	 	 		185	693	418	963	1534	several,feral,traits,fruited,morphology,agricultural,rice,weedy,red
gf							 	 	 		1387	454	375	20	1267	selection,sequence,targeted,segments,sweep,substitutions,high,ongoing,low,adaptive,detects,nucleotide,method,population
gg							 	 	 		659	504	489	273	437	migration,23,demographic,distributed,maximum,tree,coalescent,accounts,mutation,gene,species,software
gh							 	 	 		508	1184	31	259	1356	partners,reproductive,microbes,transmission,infections,insect's,mechanisms,community,traits,levels,virulence,demonstrating,reducing
gi							 	 	 		1153	1505	348	830	820	body,genus,caribbean,varied,lizards,microhabitats,larger,investigate,range,5,relate,american,ecomorph,structural
gj							 	 	 		432	1393	10	1113	467	female,resistance,large,suggests,important,role,preference,context,adaptive,sexual,competitively,conflict
gk							 	 	 		958	490	906	954	1194	plants,interactions,increasingly,hgt,species,mitochondrial,eukaryotes,comparative,analyses,molecular,protein
gl							 	 	 		200	927	1108	1007	859	different,ecology,groups,selective,diversification,genes,horseshoe,traits,frequency,evolved,phenotypic,adaptive,times
gm							 	 	 		506	1116	1362	210	212	mallards,found,snps,flow,hybrid,finches,markers,process,diverged,duck,recently,gene
gn							 	 	 		114	335	110	634	964	evolve,only,populations,expression,results,variation,venom,experiments,link,including,studying,prey,adapted,species,sympatric
ha							 	 	 		6	1525	751	687	552	information,lower,strains,resistant,challenge,system,long,parasites,consistently,host,models,pathogen,traits,transmission,causes
hb							 	 	 		134	648	326	170	33	wide,roles,importance,rearrangement,region,young,variation,inverted,suggests,genetic,effects,speciation,inversions,evidence,snps,birds,standard
hc							 	 	 		487	429	1424	611	1091	plant,ecology,diversity,specialization,pattern,morphological,colony,protect,fungus,complex,genomic,any,history
hd							 	 	 		1013	625	1274	1033	1445	diversity,ability,lineages,potential,amphibians,variation,speciation,radiate,dispersing,multiple,events
he							 	 	 		77	249	755	156	831	zealand,giant,evolutionary,historical,insects,differentially,morphologically,number,understanding,generated,phylogeny,4,samples,6,wild,data,previous
hf							 	 	 		136	1278	1045	774	1056	driven,evolution,geographic,area,trait,forests,high,speciation,clades,biogeographic,america,ranging
hg							 	 	 		140	216	117	236	733	heritability,femurs,however,environments,competitively,host,produce,variation,response,changes,occurs,important,disruptive
hh							 	 	 		1464	883	1105	124	967	blue,develop,colorful,dormitor,fins,differences,positioned,variation,high,predators,sexual,signal,predicted
hi							 	 	 		1046	1234	23	1216	1335	selection,reproductive,differences,locus,introgression,ecological,dm,adaptation,biological,barriers,during,contributions,maintaining
hj							 	 	 		1432	1044	587	1363	372	environment,natural,effective,sizes,models,histories,phenotypes,ne,scenarios,genetic,species,estimate,method,shaping
hk							 	 	 		668	662	1507	261	486	evolution,dna,complexities,nuclear,tree,models,enriched,fishes,genetics,copy,studies,method
hl							 	 	 		399	635	346	982	1292	origin,major,pectorale,yeast,soma,rna,genes,life,mechanism,traits,determine,clusters,history
hm							 	 	 		825	684	1249	90	732	pronounced,evolution,selection,metabolic,intron,explained,reflected,genome,usage,protein,gene,expression,structure
hn							 	 	 		785	422	632	1484	1385	morphological,behavior,sexual,genes,signals,selection,components,barriers,acoustic,courtship,revealed
ia							 	 	 		137	1463	940	387	291	females,pattern,possible,phenotypes,traits,genetic,species,shared,gene,birds,evidence,constraints
ib							 	 	 		409	803	885	797	198	life,evolutionary,theory,effective,positive,selected,synonymous,ideas,tests,link,genome,conditions,method,modeled
ic							 	 	 		1419	1386	1471	260	254	substrate,diets,energy,availability,variation,predation,food,lizard,protein,offspring,select
id							 	 	 		95	315	1478	1057	931	evolved,suggest,bugs,drive,range,elegans,invasion,treatments,parasite,local
ie							 	 	 		223	512	11	1079	642	functions,selection,structure,variation,environment,traits,ecological,levels,effects,spatial,genomic,localize,drought,species,landscape
if							 	 	 		1412	1501	390	691	710	infective,metabolite,study,phylogenetic,humans,microbial,species,strains,skin,changes,response
ig							 	 	 		857	1279	666	351	780	development,water,climate,aquatic,north,sizes,egg,pleistocene,period,variation,implicating,diverged,during,diapause,sensitivity
ih							 	 	 		465	1425	581	239	1129	lineage,sampled,form,data,study,taxon,large,monophyly,speciose,groups,subfamily,specimens,species
ii							 	 	 		704	1442	1227	340	1253	evolution,genus,family,major,functions,arabidopsis,rate,diploid,dynamics,molecular,events
ij							 	 	 		1200	415	1285	274	1422	subset,evolutionary,parameters,genes,phylogenetic,sites,dataset,large,filters,measure,data,phylogenies
ik							 	 	 		1142	1284	502	879	219	origin,genes,parental,taxa,males,patterns,genetic,effects,studied,performance,analyses,species,inferring
il							 	 	 		1293	1042	443	106	153	evolution,loci,shaped,genes,mapping,phenotypes,functional,evolvability,adaptation,behavior,fitness,efforts,size,open,shows
im							 	 	 		934	1263	76	447	358	stress,freshwater,differential,divergence,salinity,environmental,difference,growth,expected,laboratory,gene,expression,response
in							 	 	 		495	734	440	417	29	value,habitat,indicate,alleles,structured,expansions,variation,sample,0,low,estimators,marker,bottleneck,population
ja							 	 	 		302	935	444	152	215	function,stability,evolutionary,world,scales,clade,mediterranean,environment,rate,speciation,sequencing,reconstruct,model
jb							 	 	 		350	232	1133	950	458	dry,assembly,models,region,variation,patterns,ecological,forest,diversity,geographic,composition
jc							 	 	 		782	501	433	341	539	seasonal,evolution,populations,semelparous,iteroparous,clock,salmon,naturalized,circadian,response,size
jd							 	 	 		7	1161	1002	535	713	relationships,distinct,genetic,species,ecological,complex,salamanders,range,data,algae
je							 	 	 		990	794	12	709	396	plant,populations,study,differences,depends,fungi,phenotypes,mycorrhizal,ecological,hosts,community,differentiation,cultures,conditions,genetic
jf							 	 	 		646	1009	1390	1083	143	stamen,pollen,evolution,ratio,genes,pollinator,rate,frequency,genome,families,male,differentiating
jg							 	 	 		1228	564	386	425	74	distance,plant,crosses,genotype,trait,investigate,species,ecological,evolutionary,adaptation,fitness,ri
jh							 	 	 		894	699	1139	933	768	infective,diversity,antipodarum,variation,response,specific,traits,mates,found,sexual,species
ji							 	 	 		680	58	1305	130	186	behaviors,life,interactions,divergence,environments,prey,groups,occur,history
jj							 	 	 		643	364	832	1326	1509	polymorphism,evolution,selection,natural,show,isolation,genes,sites,ecotypes,speciation,growing,found,population
jk							 	 	 		800	1114	1052	230	277	gonads,reproductive,microsatellite,functional,variation,reduced,specific,brain,cue,behavioral,expression,linked,change
jl							 	 	 		1010	979	245	1404	606	selection,genetics,r2,age,phylogenetic,integration,0,classes,comparative,quantitative,macroevolutionary
jm							 	 	 		685	1466	1098	898	1427	relationships,supported,challenging,exons,shallow,results,collection,relative,insect,clades,angiosperms,researchers,previous
jn							 	 	 		1295	888	1397	73	400	function,differ,costly,interactions,isolation,number,traits,individual,action,mates
ka							 	 	 		1121	530	482	965	65	yearly,generating,selection,diversity,positive,survival,responsible,effect,choice,variants,evidence,mating,class
kb							 	 	 		1275	640	1394	1074	419	evolution,group,showed,generation,nuclear,temporal,introgression,divergence,lineages,mtdna,complex,resulting,north,highland
kc							 	 	 		686	814	1229	1130	1530	evolution,rapid,diversification,radiation,rad,markers,bird,increase,informative,including,genome,found,order,pacific
kd							 	 	 		203	262	565	87	101	processes,diversity,populations,dependent,gynodioecious,genomes,variation,sex,high,mechanism,associated,siphilitica,species,ratio
ke							 	 	 		26	1235	144	109	1197	ecology,genes,mutations,increase,strains,identify,adaptation,found,pathogens,variance,theoretical,population
kf							 	 	 		178	206	1223	650	408	populations,rapid,fighter,reproductive,drosophila,morphological,lines,hypotheses,selection,female,genital,level,possess
kg							 	 	 		97	79	469	972	75	relatively,isolation,mating,darters,predation,visual,role,fitness,male,local,response,divergent
kh							 	 	 		647	472	1171	475	1316	charr,functional,populations,invasions,differences,lake,genomes,host,obligate,small,length,distribution,gene,adaptive
ki							 	 	 		1526	694	977	1488	1416	seasonal,life,frequencies,phenological,odor,system,drives,genetic,preference,evolved,shift,allele,history,infest,haw
kj							 	 	 		1481	700	1283	383	222	resource,responses,food,estimates,genetic,effects,phenotypic,modeling,species,environmentally,size
kk							 	 	 		314	527	187	1515	193	size,plant,syndrome,traits,inbreeding,effect,patterns,genetic,rates,genomic,hummingbird,mating,bird,depression,population
kl							 	 	 		1241	980	510	205	1495	selection,results,large,gland,single,genetically,hypothesis,spiders,differentiation,protein,silk,expression,types
km							 	 	 		1320	821	1168	595	1149	evolution,selection,diversity,habitat,structured,flow,immigration,patterns,genetic,natural,rates,phenotypic,juveniles,range,species
kn							 	 	 		837	908	9	
la							 	 	 		456	169	516	533	636	fly,developmental,life,muscles,flight,correlations,question,avian,stem,understand,groups,model
lb							 	 	 		591	1307	388	301	1528	evolution,nature,locally,resistance,community,damage,defenses,fitness,floral
lc							 	 	 		1546	679	1431	25	1483	evolve,habitat,receivers,communication,however,system,american,complex,mate,context,distinctly,ecologically,sexual,divergent
ld							 	 	 		736	47	333	909	51	sequenced,wild,evolution,selection,populations,mitochondria,locus,mito,diverse,bias,species,sexual,intra,conflict
le							 	 	 		449	1269	394	1239	1143	dormancy,natural,plasticity,developmental,correlations,genotypes,disperse,qtl,gene,expression,flowering
lf							 	 	 		1217	901	537	176	503	increased,remains,dimorphic,larval,variation,longevity,patterns,mate,adaptation,male,sexual,species
lg							 	 	 		1423	1382	344	1329	843	loci,parameters,populations,generation,selected,defined,evolutionary,migration,groups,fitness,model,species
lh							 	 	 		534	858	612	845	1122	reveals,selection,matrix,diverging,coral,spatial,genetic,speciation,structures,species,recent
li							 	 	 		255	873	615	1017	757	plant,selection,evolution,site,variation,resistance,environment,cost,rates,substitution,differ,change,times
lj							 	 	 		722	985	1529	866	436	evolve,evolution,broadly,similarly,genes,divergence,traits,genetic,rates,common,key,indigobird,populations,apply,egg
lk							 	 	 		744	182	1415	638	360	relationships,undergo,family,latrotoxin,differences,phylogenetic,spider,gland,black,gene,transcripts,genus,type,widow
ll							 	 	 		593	1189	334	441	181	relationships,impact,based,reconstruction,sequence,taxa,support,tree,only,investigation,effects,branch,phylogenies,partitions
lm							 	 	 		24	278	795	481	852	evolution,contributes,chromosomes,parental,pattern,genes,understanding,determine,stages,barriers,polymorphic,expression
ma							 	 	 		1343	1444	1304	27	218	observed,term,selection,determines,reproductive,number,allocation,ratios,fitness,model,population,offspring,conflict,segregating
mb							 	 	 		448	521	1388	944	1461	evolution,mixture,interactions,science,3,diet,host,teachers,compound,darwin,day,population
mc							 	 	 		550	289	772	450	72	clustering,habitat,taxa,determining,spatial,africa,ocean,traits,social,gene
md							 	 	 		554	1502	867	1367	1043	evolution,showed,trait,incipient,introgression,genomes,related,premating,pattern,combinations,including,occurs
me							 	 	 		480	869	1213	865	411	climate,natural,variation,local,genes,lines,genomes,related,strains,approaches,adaptation,background,marker,differentially
mf							 	 	 		983	627	246	1026	583	evolving,sequence,asexual,populations,accumulates,rate,adaptation,clones,allele,spontaneous,lineages,predicted
mg							 	 	 		1435	1103	725	524	784	diversity,level,interesting,genes,demographic,analysis,1,0,adaptation,transcriptome,show,data,history
mh							 	 	 		1336	1132	1544	1078	1280	amazonia,pleistocene,crown,cerrado,biota,split,groups,sequences,analyses,savanna
mi							 	 	 		855	1512	1294	777	317	developmental,pressures,color,functional,signals,traits,diverse,conspicuous,model,structures,change,red
mj							 	 	 		439	1421	497	1199	22	comparable,positive,signal,digital,evolution,trees,inferred,approaches,therefore,simulations,quantitative,tools,conflict
na							 	 	 		105	574	183	675	682	climate,scale,findings,derived,ancestral,histories,comparative,modeling,adaptive,gene,data,species
nb							 	 	 		714	28	957	298	257	limited,stress,selection,reproductive,gamete,sizes,effect,variation,seeds,flowering,studies
nc							 	 	 		50	531	188	272	819	plants,origin,loci,leaf,importance,trait,phylogenetic,freezing,water,selective,angiosperms,events
nd							 	 	 		1257	1299	1384	862	657	changes,color,season,functional,variation,expressed,midges,environments,gall,phenotypic,gene,differentially
ne							 	 	 		1071	92	708	69	1489	processes,ecospace,family,morphological,ecological,rates,predators,groups,studied,modeling,dynamics,oceans,history
nf							 	 	 		1321	1289	1016	147	1547	reveals,richness,lizards,temporally,evaluated,patterns,indian,ghats,western,analyses,bird
ng							 	 	 		719	1477	952	1360	918	tissues,many,morphological,larval,lecithotrophic,human,changed,stages,species
nh							 	 	 		438	754	62	607	91	control,function,selection,models,divergence,age,larval,lineages,rate,5,predicted,genomic,establish,experimental
ni							 	 	 		42	1342	748	154	1400	evolution,develop,evolved,structure,flow,effects,identification,genome,influences,morphology,natural,dynamics,male,present,population
nj							 	 	 		258	1120	829	1119	125	information,ecology,organisms,evolvable,traits,complex,hypothesis,generalized,time,model,diverse
oa							 	 	 		1450	823	1364	1175	365	phylogenetic,multiple,trait,extinctions,demographic,occurred,community,states,studying,phenotypic,model,approach,events,population
ob							 	 	 		891	1252	517	435	995	conflicting,female,functional,intersexual,traits,genetic,adaptation,melanogaster,fitness,protein,gene
oc							 	 	 		1006	815	1058	162	674	early,families,temperature,plasticity,genes,community,height,late,experiment,low,key,wild,size
od							 	 	 		518	1437	132	942	861	processes,associated,seq,reproductive,immune,generation,frequencies,differentiated,variation,libraries,traits,social,phenotypic,mating,snps
oe							 	 	 		1350	932	907	30	877	extent,different,chromosomes,origins,reproductive,lineages,genetic,contact,adaptation,ancestry,inference,multiple,linked
of							 	 	 		452	1221	459	838	266	high,evolution,selection,diversity,regions,chromosomal,meiotic,population,nucleotide,size
og							 	 	 		322	549	159	968	1541	cottus,correlated,trait,vertebrate,predator,diet,number,investigate,variation,genomic,sculpin
oh							 	 	 		806	1392	941	320	1260	testosterone,form,males,mechanisms,mutations,infection,host,levels,behavior,during,bacteria
oi							 	 	 		921	1325	21	180	547	placenta,selected,fish,morphological,system,identify,genes,wider,phenotypic,placental
oj							 	 	 		213	145	366	35	427	limited,evolution,selection,prior,diversification,divergence,dispersal,traits,spatial,model,geographic
pa							 	 	 		566	1050	729	1125	209	evolve,different,selection,natural,responses,generation,evolution,hypothesis,adaptive,gene,networks
pb							 	 	 		1038	1338	1232	1	405	evolution,factors,metapopulation,diversification,spatial,divergence,mutations,shifts,migration,speciation,differentiation,model,species
pc							 	 	 		268	161	936	1127	1030	life,selection,indicate,conditions,fitness,transcriptomics,hydrozoa,traits,phenotypically,medusa,male,expression,species,cycle
pd							 	 	 		476	1381	1485	893	622	plants,processes,sequence,sites,results,environment,diverse,freshwater,species,coevolutionary
pe							 	 	 		445	1011	194	1070	1313	exhibit,loss,chloroplast,phylogenetic,multiple,angiosperm,rearrangements,deep,seed,representative,plastids,flowering,structural
pf							 	 	 		1429	385	466	1247	1373	selection,individual,sequence,estimates,flow,system,salamander,genetic,complex,survey,markers,sets,dna,adaptively
pg							 	 	 		407	1117	1131	947	1062	body,lower,16,mammals,relative,genetic,individual,effects,human,sequences,islands,species,gi,size
ph							 	 	 		697	1433	746	938	280	level,si,mutations,observed,genetically,range,effects,sc,gene
pi							 	 	 		770	146	681	410	688	homology,domain,selection,show,pattern,fish,synonymous,site,accelerated,evolutionary,pathways,providing,structure
pj							 	 	 		1196	1198	1024	505	224	life,correlated,feedback,situations,tool,acceptance,biology,provides,answer,theory,mate,scores,measure,improving,studies,science
